,sink_pre_siz,source_suc_siz,Common_Following,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Jaccard_coefficient,Adamic_adar_index,Cn_soundarajan_hopcroft,Ra_index_soundarajan_hopcroft,Label
51,3,61387,0,1,3571.75,0.232732782,1.63E-05,0.095930767,1,0,1
52,32,61387,0,25,10312.84848,5.543819639,0.000407047,2.386889839,25,0,1
53,32,61387,0,22,9584.69697,5.152391347,0.000390759,2.295327474,45,0.00076222,1
54,149,61387,0,117,9222.753333,22.5355607,0.002002051,12.21168362,225,0.006032573,1
55,97,61387,0,76,9748.540816,15.56260181,0.001269738,7.636107063,146,0.002881671,1
56,7,61387,0,6,6997.375,0.911888317,9.77E-05,0.597340765,6,0,1
57,3,61387,0,1,3568.25,0.232504724,1.63E-05,0.073830359,1,0,1
58,3,61387,0,2,9464.75,0.616716622,3.26E-05,0.185580833,2,0,1
59,50,61387,0,45,13651.70588,11.34158142,0.000749003,4.36481688,87,0.001799993,1
60,1,61387,0,1,4716.5,0.153661953,1.63E-05,0.096493636,1,0,1
61,9,61387,0,4,8911.7,1.451700658,8.14E-05,0.45005788,5,0,1
62,37,61387,0,30,11038.05263,6.83270346,0.000521037,3.078481125,57,0.001167852,1
63,105,61387,0,75,9661.735849,16.68313025,0.001318467,7.904938606,144,0.002329552,1
64,17,61387,0,13,15004.83333,4.399670945,0.000260535,1.468359983,29,0.000282437,1
65,8,61387,0,7,13326.88889,1.953834626,0.000113984,0.662495718,7,0,1
66,61,61387,0,50,11324.70968,11.43760996,0.000830335,4.845817274,92,0.001404578,1
67,24,61387,0,18,11214.24,4.566951196,0.000309366,1.7245765,19,0,1
68,23,61387,0,19,16746.70833,6.547224213,0.000358236,2.004083505,22,0,1
69,178,61387,0,88,6000.061453,17.49545514,0.001512293,9.25518992,93,0,1
70,40,61387,0,32,15203.73171,10.15431355,0.000537302,3.04156826,65,0.000694573,1
71,13,61387,0,8,6192.928571,1.412344432,0.000130259,0.75705182,8,0,1
72,1,61387,0,1,2316,0.075454486,1.63E-05,0.10575965,1,0,1
73,3,61387,0,3,2870.5,0.187039812,4.89E-05,0.311157911,3,0,1
74,28,61387,0,24,11410.72414,5.390483482,0.000390784,2.343590511,47,0.001088836,1
75,12,61387,0,6,13670.15385,2.894898026,0.000130261,0.718558261,8,0,1
76,26,61387,0,17,8478.703704,3.729149019,0.000293069,1.745847031,35,0.000732402,1
77,6,61387,0,5,15113.71429,1.72339871,8.14E-05,0.434079942,5,0,1
78,17,61387,0,15,12654.61111,3.710546035,0.000260535,1.493685928,16,0,1
79,58,61387,0,49,14239.76271,13.68583437,0.000846671,4.773833572,93,0.001036753,1
80,31,61387,0,18,4649,2.423405226,0.000325616,1.933855573,30,0.000699424,1
81,293,61387,0,191,5998.894558,28.72996351,0.003202887,20.2407064,355,0.013725654,1
82,57,61387,0,35,8198.5,7.746025282,0.000602302,3.620041391,37,0,1
83,29,61387,0,21,11730.36667,5.732569883,0.000358201,2.098718614,44,0.000863104,1
84,1,61387,0,0,2102,0.06848244,0,0,0,0,1
85,39,61387,0,25,7552.375,4.92107578,0.000439575,2.708595165,46,0.001088072,1
86,5,61387,0,4,4816.833333,0.470792337,6.51E-05,0.394574082,4,0,1
87,8,61387,0,3,1733.666667,0.254170196,4.88E-05,0.292045875,3,0,1
88,26,61387,0,19,12819.96296,5.638544993,0.000358219,2.010040405,22,0,1
89,2,61387,0,0,49.66666667,0.002427184,0,0,0,0,1
90,10,61387,0,4,4844.818182,0.868133837,8.14E-05,0.502243338,5,0,1
91,643,61387,0,276,3125.47205,32.78823223,0.004613965,30.36249495,484,0.024748327,1
92,21,61387,0,17,19210.09091,6.884439956,0.000309381,1.688658676,37,0.000251251,1
93,12,61387,0,8,10233.46154,2.167117352,0.000130261,0.764536512,8,0,1
94,20,61387,0,14,6408.904762,2.192399166,0.000244236,1.550576325,15,0,1
95,156,61387,0,126,9206.401274,23.54539975,0.0021323,12.94416634,228,0.004934893,1
96,64,61387,0,39,10393.26154,11.00478921,0.000732541,4.209541815,82,0.001024621,1
97,54,61387,0,49,15364.29091,13.76549163,0.00083043,4.728187382,98,0.001167993,1
98,190,61387,0,86,4133.926702,12.86212289,0.001463153,9.30658901,162,0.005216533,1
99,40,61387,0,37,15553.43902,10.38787711,0.000618762,3.52555543,71,0.000666342,1
100,13,61387,0,8,9734.357143,2.219994136,0.000130259,0.75658399,8,0,1
101,16,61387,0,13,6923.058824,1.917182511,0.000211678,1.240966938,13,0,1
102,52,61387,0,39,10902.15094,9.412491041,0.000634931,3.777718002,75,0.002125803,1
103,58,61387,0,44,10172.57627,9.776861927,0.000781492,4.669305217,90,0.00222288,1
104,19,61387,0,13,6263.85,2.040740861,0.00024424,1.60755503,15,0,1
105,1,61387,0,0,7249.5,0.236186225,0,0,0,0,1
106,71,61387,0,48,8477.625,9.943132208,0.0008302,4.920162476,91,0.002036856,1
107,122,61387,0,97,8844.97561,17.72222584,0.001611485,9.938562403,179,0.004802777,1
108,12,61387,0,10,11362.07692,2.406121718,0.000162832,0.952828124,10,0,1
109,23,61387,0,20,14515.04167,5.674740992,0.000341947,1.958930134,41,0.000511514,1
110,23,61387,0,22,18302.54167,7.155486414,0.000374526,2.047122253,23,0,1
111,2,61387,0,2,1284,0.06274842,3.26E-05,0.223189916,2,0,1
112,10,61387,0,7,9719.636364,1.741643318,0.000146551,0.842094913,9,0,1
113,48,61387,0,39,12691.02041,10.12999283,0.000667557,3.876880331,78,0.001076872,1
114,94,61387,0,14,1962.578947,3.037157099,0.000243942,1.544257083,15,0,1
115,3,61387,0,0,13.5,0.000879651,0,0,0,0,1
116,26,61387,0,21,11865.96296,5.218951587,0.000358219,2.079487113,22,0,1
117,52,61387,0,41,11646.50943,10.05514107,0.000716391,4.199882566,81,0.00124704,1
118,27,61387,0,22,10617.42857,4.842770574,0.000374501,2.217268883,44,0.000841933,1
119,19,61387,0,17,9328.8,3.039291067,0.000276814,1.667027451,31,0.00063651,1
120,46,61387,0,41,8204.851064,6.281814035,0.000683872,4.058215641,42,0,1
121,46,652,0,1,36.08510638,2.597243492,0.004261364,0.437511062,6,0.003197312,1
122,6,192,0,4,27.71428571,1.005181347,0.02020202,0.660095523,8,0.011151463,1
123,43,1988,0,7,230.0454545,5.088989442,0.004400978,0.79820076,9,0,1
124,290,1988,0,39,163.5841924,23.93313223,0.024487979,5.879045989,70,0.008714805,1
125,14,1988,0,1,61.26666667,0.462041227,0.00148368,0.451081495,5,0.006455053,1
126,51,1988,45,11,183.5,4.797385621,0.02125,7.071443495,92,0.086026207,1
127,2,5945,0,1,766.3333333,0.386646485,0.000167308,0.073830359,1,0,1
128,1,5945,0,0,203,0.068281197,0,0,0,0,1
129,107,5945,0,19,463.4074074,8.417087117,0.003298697,1.858351733,20,0,1
130,4,5945,0,2,464.6,0.390682812,0.00033456,0.210305723,2,0,1
131,8,5945,0,0,91.22222222,0.138076017,0,0,0,0,1
132,16,5945,0,7,660.1764706,1.887487386,0.001169591,0.632566924,7,0,1
133,5,5945,0,2,257.3333333,0.259670367,0.000334504,0.220953368,2,0,1
134,13,5945,0,4,534.1428571,1.257652203,0.000668338,0.363552282,4,0,1
135,2,5945,0,2,735.6666667,0.371173898,0.000334672,0.176801764,2,0,1
136,5,303,0,0,4.666666667,0.092105263,0,0,0,0,1
137,3,68848,0,0,2178,0.126537786,0,0,0,0,1
138,58,68848,0,45,17468.11864,14.96926608,0.000682138,4.285294456,87,0.00076492,1
139,17,68848,0,13,16180.11111,4.230155848,0.000188696,1.167529636,13,0,1
140,11,68848,0,8,11551.16667,2.013304478,0.000116122,0.766817774,8,0,1
141,147,68848,0,106,10216.10135,21.96085637,0.00158136,10.74194615,183,0.003718193,1
142,60,68848,0,47,15965.65574,14.14552136,0.000711165,4.60086929,92,0.001700283,1
143,57,68848,0,41,13584.46552,11.44386992,0.000609535,4.029094034,76,0.001394771,1
144,32,68848,0,25,15156.15152,7.264491859,0.000362861,2.316211208,45,0.000531179,1
145,70,68848,0,52,14245.66197,14.69072899,0.000812725,5.494174668,102,0.001533291,1
146,4,68848,0,2,14461.6,1.050240381,4.35E-05,0.298888438,3,0,1
147,47,68848,0,38,16438.39583,11.46048599,0.000551532,3.578066298,72,0.000949731,1
148,24,68848,0,20,20534.28,7.456273875,0.000290301,1.843300296,39,0.000395469,1
149,40,68848,0,31,17059.4878,10.15902918,0.000449934,2.786362466,55,0.000427487,1
150,24,68848,0,14,14019.8,5.09077837,0.000232227,1.583400796,16,0,1
151,25,68848,0,20,15798.80769,5.966230446,0.000304816,2.034702923,41,0.001246769,1
152,113,68848,0,88,10129.73684,16.77279263,0.001291465,9.023536869,161,0.006455466,1
153,114,68848,0,84,10046.11304,16.78024372,0.001276917,8.59763597,153,0.004337956,1
154,38,68848,0,23,9648.230769,5.465308138,0.000333793,2.309534523,40,0.00126672,1
155,39,68848,0,32,18213.925,10.58195471,0.000464461,2.965605236,62,0.000701357,1
156,16,68848,0,10,6944.882353,1.714810673,0.000145146,1.002606956,10,0,1
157,51,68848,0,43,14900.67308,11.25412134,0.000638634,4.145373204,74,0.001355408,1
158,35,68848,0,26,14074.97222,7.359569493,0.000377364,2.484342241,48,0.000762244,1
159,8,68848,0,5,10521.44444,1.375372191,7.26E-05,0.501875717,5,0,1
160,58,68848,0,31,3641.40678,3.120495577,0.000449816,3.388446562,31,0,1
161,32,68848,0,26,20587.39394,9.867739546,0.000391901,2.417817197,53,0.000466699,1
162,19,68848,0,10,13000.5,3.77652544,0.00014514,0.89951183,10,0,1
163,90,68848,0,44,7766.604396,10.26537786,0.000638273,4.257616357,44,0,1
164,35,68848,0,19,7215.555556,3.772894305,0.000319289,2.23301702,39,0.000834539,1
165,23,68848,0,20,10779.58333,3.757643539,0.000290305,1.874627503,20,0,1
166,11,68848,0,8,13524,2.357158419,0.000116122,0.743066499,8,0,1
167,344,68848,0,198,5979.368116,29.96241049,0.002998827,21.70496021,352,0.014605348,1
168,32,68848,0,13,6112.757576,2.929904574,0.000188655,1.300865477,13,0,1
169,18,68848,0,11,16798,4.635680983,0.000174176,1.108716674,12,0,1
170,40,68848,0,32,16203.19512,9.649101657,0.000478976,3.14899188,63,0.001215532,1
171,53,68848,0,38,9486.5,7.440500225,0.000580526,4.107026403,71,0.002497692,1
172,72,68848,0,49,11064.76712,11.73187701,0.000754607,5.112232065,96,0.002361717,1
173,5,68848,0,1,8968,0.781536406,1.45E-05,0.096037847,1,0,1
174,49,68848,0,29,13628.1,9.89709364,0.000420839,2.781586325,52,0.000638037,1
175,57,68848,0,40,7460.827586,6.285174803,0.000595013,4.065778989,69,0.001770431,1
176,360,68848,0,56,2143.188366,11.23750527,0.000838247,6.074142622,58,0,1
177,31,68848,384,16,4505.90625,2.094278784,0.005531872,84.08397389,696,3.343437888,1
178,26,68848,0,15,10333.92593,4.052578832,0.000246738,1.695545463,32,0.00055416,1
179,164,68848,928,80,6603.139394,15.82474691,0.012964227,177.4350098,931,0,1
180,79,68848,0,58,11159.95,12.96745051,0.000870714,6.010076661,114,0.004096652,1
181,30,68848,0,24,17869.45161,8.045912068,0.000348351,2.164051823,43,0.000326052,1
182,92,68848,0,48,6930.268817,9.361283388,0.000696318,4.697357464,48,0,1
183,163,68848,0,119,9601.97561,22.87214048,0.001769886,12.0069263,209,0.005366867,1
184,19,68848,0,15,14458.2,4.199973856,0.000232244,1.457473711,16,0,1
185,23,68848,0,18,20853.75,7.269386629,0.000275786,1.734665559,19,0,1
186,46,68848,0,27,10660.08511,7.277142733,0.000391821,2.645168889,50,0.000759013,1
187,56,68848,0,42,9203.666667,7.61970399,0.000624066,4.349903204,76,0.00196422,1
188,110,68848,0,80,10580.00901,17.05734288,0.001218875,8.442466353,154,0.004380819,1
189,4,68848,0,2,1891.8,0.137387616,2.90E-05,0.241946786,2,0,1
190,251,68848,0,168,8052.968254,29.47534459,0.002522946,17.80974822,311,0.011417567,1
191,45,68848,0,34,12206.6087,8.155586864,0.000522504,3.561193682,67,0.002006924,1
192,95,68848,0,80,14822.32292,20.6675914,0.001204609,7.660317715,140,0.001571457,1
193,56,68848,0,35,13139.40351,10.87809554,0.000507901,3.295422688,65,0.000864447,1
194,21,68848,0,15,18474,5.903179422,0.000232237,1.521287077,16,0,1
195,27,68848,0,11,3527.607143,1.434632311,0.000174153,1.184934481,12,0,1
196,64,68848,0,44,10597.50769,10.00505454,0.000696601,4.800898548,88,0.002768471,1
197,56,68848,0,48,16110.22807,13.33763744,0.000696682,4.597575535,92,0.00154214,1
198,150,68848,0,118,10767.02649,23.61430086,0.00177022,12.26634164,221,0.007631124,1
199,37,68848,0,26,15718.65789,8.67563799,0.000391872,2.569690795,49,0.000970723,1
200,37,68848,0,24,19318.68421,10.66260948,0.000362834,2.29608929,50,0.001123084,1
201,8,68848,0,7,17255.66667,2.255675464,0.00010161,0.638586773,7,0,1
202,9,68848,0,5,12255.9,1.780113001,7.26E-05,0.496240909,5,0,1
203,29,68848,0,22,11987.36667,5.223329315,0.000319317,2.099708693,38,0.000766469,1
204,50,68848,0,35,10725.58824,7.94499557,0.000536987,3.569382374,69,0.001603269,1
205,160,68848,0,115,9795.503106,22.9063022,0.001711832,11.79803898,209,0.006003236,1
206,63,68848,0,37,8357.3125,7.768711238,0.000565923,4.061437724,68,0.004260343,1
207,132,68848,0,61,6782.954887,13.10306613,0.000928101,6.442461613,107,0.002877979,1
208,7,68848,0,4,3862.75,0.448837311,5.81E-05,0.343889036,4,0,1
209,31,68848,0,21,12882,5.987363651,0.00030479,1.943721671,21,0,1
210,44,68848,0,36,16010.88889,10.46478525,0.000522512,3.378626282,65,0.001020247,1
211,29,68848,0,19,11512.06667,5.01622391,0.00029028,2.007284678,37,0.001163898,1
212,150,68848,0,111,10151.4106,22.26412875,0.001624884,11.11323631,196,0.004946843,1
213,63,68848,0,44,12185.42188,11.32720882,0.000638523,4.152090849,76,0.000851115,1
214,7,68848,0,5,7054.25,0.819677846,7.26E-05,0.489748628,5,0,1
215,121,68848,0,73,8774.860656,15.54899853,0.001131534,7.83788483,136,0.004289933,1
216,51,68848,0,29,9950.769231,7.515577568,0.000478899,3.356308197,58,0.000997336,1
217,59,68848,0,38,8534.016667,7.437159581,0.000565956,3.910275822,39,0,1
218,5,68848,0,3,7758.5,0.676131825,4.35E-05,0.290917089,3,0,1
219,7,68848,0,2,8717.375,1.01292684,2.90E-05,0.191089317,2,0,1
220,2,68848,0,1,3667.666667,0.159813505,1.45E-05,0.113681704,1,0,1
221,129,68848,0,94,13042.21538,24.62618193,0.001421918,9.345111452,178,0.002796741,1
222,56,68848,0,26,6844.087719,5.666211564,0.00040628,2.935817672,28,0,1
223,6,68848,0,3,16996.85714,1.728100626,4.35E-05,0.264861372,3,0,1
224,36,68848,0,28,19633.18919,10.55103197,0.000420918,2.588981251,54,0.000450447,1
225,9,68848,0,4,1605.6,0.233206002,5.81E-05,0.458064722,4,0,1
226,32,68848,0,28,16738.81818,8.023079493,0.000406421,2.653225643,55,0.001210355,1
227,24,68848,0,16,16198.36,5.881842874,0.000246745,1.568505347,33,0.000322617,1
228,85,68848,0,47,10648.93023,13.3016892,0.000710907,4.656734692,91,0.001651311,1
229,3,68848,0,2,11694.75,0.67944342,2.90E-05,0.18714497,2,0,1
230,8,68848,0,8,11974.44444,1.565309591,0.000116127,0.737138581,8,0,1
231,73,68848,0,57,12484.94595,13.41901843,0.000870789,5.875026027,108,0.002815516,1
232,6,68848,0,3,12472.28571,1.26807942,4.35E-05,0.285901713,3,0,1
233,178,68848,0,67,5134.592179,13.34938779,0.000985507,6.998761147,68,0,1
234,114,68848,0,92,13063.07826,21.81954712,0.001407694,9.464356446,183,0.004397838,1
235,3,68848,0,1,10874.75,0.631802931,1.45E-05,0.091899939,1,0,1
236,10,68848,0,7,5458.909091,0.87216953,0.000101607,0.68561522,7,0,1
237,74,68848,0,54,12120.21333,13.20303853,0.000812678,5.56857076,108,0.00344152,1
238,32,68848,0,17,10658.78788,5.108861421,0.000261233,1.798898998,32,0.000586471,1
239,37,68848,0,16,4886.789474,2.697177882,0.000232184,1.516084318,16,0,1
240,116,68848,0,79,10812.77778,18.37492193,0.001218769,8.382037487,158,0.004929219,1
241,24,68848,0,18,17094.32,6.207178027,0.000275782,1.810629982,19,0,1
242,30,68848,0,18,13992.70968,6.300367471,0.000261241,1.66500003,34,0.000501488,1
243,36,68848,0,32,19618.59459,10.54318872,0.000479004,3.01253012,64,0.000722912,1
244,18,68848,0,12,18016.21053,4.971865968,0.000203211,1.309514654,26,0.000282134,1
245,22,68848,0,15,18637.95652,6.226277796,0.000246752,1.609296814,31,0.001231521,1
246,32,68848,0,28,11404.78788,5.466426528,0.000420943,2.816140509,46,0.000542304,1
247,38,68848,0,25,10661.82051,6.039463173,0.000435426,3.024278476,54,0.001284194,1
248,6,68848,0,3,8018,0.815204288,5.81E-05,0.367731765,4,0,1
249,136,68848,0,103,11386.48175,22.65752589,0.001508952,10.08078548,181,0.002824407,1
250,44,68848,0,38,17467.75556,11.41699952,0.000580602,3.781145665,78,0.001316258,1
251,49,68848,0,36,9121.78,6.624482563,0.000522474,3.517729902,58,0.001270678,1
252,8,68848,0,4,12380.66667,1.618411306,5.81E-05,0.381282942,4,0,1
253,23,68848,0,18,18357.125,6.399090764,0.000261267,1.680144997,35,0.000378934,1
254,3,68848,0,1,11529,0.66981365,1.45E-05,0.098089816,1,0,1
255,206,68848,0,151,9284.985507,27.91604816,0.002277376,15.96093221,280,0.010237102,1
256,61,68848,0,34,7814.112903,7.036776133,0.000522383,3.72668379,62,0.004431046,1
257,20,68848,0,9,7336.47619,2.237737658,0.000130622,0.887884507,14,0.000110132,1
258,112,68848,0,71,9651.19469,15.84024459,0.001059061,6.951613556,120,0.002989594,1
259,42,68848,0,31,12868.2093,8.036906854,0.000449921,2.991582268,54,0.000497252,1
260,31,68848,0,21,10574.03125,4.914653808,0.000319308,2.186805849,22,0,1
261,81,68848,0,55,12989.67073,15.47085651,0.000827118,5.522177315,105,0.001956163,1
262,139,68848,0,102,11411.6,23.20475243,0.001523417,10.17974407,191,0.003741177,1
263,297,68848,5321,193,7216.255034,31.23420819,0.068424228,1134.911441,10030,49.20412794,1
264,12,68848,0,6,10627.15385,2.006608665,8.71E-05,0.605940098,6,0,1
265,13,68848,0,7,3928.071429,0.798747985,0.000101602,0.763778281,7,0,1
266,104,68848,0,80,13678.3619,20.8605499,0.001160867,7.470836349,143,0.002399715,1
267,40,68848,0,34,17727.73171,10.55697251,0.000493497,3.144146455,64,0.000732393,1
268,142,68848,171,35,1872.902098,3.890034714,0.002494679,32.16719713,177,0,1
269,25,68848,0,17,13320.26923,5.030240091,0.000275778,1.894466406,33,0.000864399,1
270,17,68848,0,13,13474.05556,3.522680068,0.000188696,1.245227842,26,0.000470756,1
271,93,68848,0,70,11082.46809,15.13096777,0.001044826,7.023517023,124,0.002413443,1
272,4,68848,0,1,15463.2,1.122979273,1.45E-05,0.098089816,1,0,1
273,242,68848,0,172,8191.292181,28.9108629,0.002668678,18.86272051,320,0.010918609,1
274,60,68848,0,47,14063.09836,12.45986144,0.000740214,4.976295012,89,0.001535338,1
275,25,68848,0,19,9911.807692,3.743075426,0.000290297,1.957679257,36,0.001359351,1
276,27,68848,0,21,15741.89286,6.402024721,0.000319327,2.085293546,22,0,1
277,30,68848,0,19,6005.193548,2.703902744,0.000275758,1.887764414,27,0.000292391,1
278,56,68848,0,43,16011.87719,13.25621287,0.000638588,4.165547209,81,0.001061136,1
279,43,68848,0,32,17391.11364,11.11430812,0.000493476,3.186291957,66,0.000835558,1
280,196,68848,1426,109,7233.883249,20.69855771,0.019913011,277.1262021,2636,9.515686125,1
281,132,68848,0,109,11764.39098,22.72602362,0.001610773,10.82747783,196,0.005634571,1
282,12,68848,0,8,13433.15385,2.536434807,0.00011612,0.771683014,8,0,1
283,43,68848,0,32,16995.47727,10.86146495,0.000478955,3.037437368,60,0.000745978,1
284,24,68848,0,17,9764.72,3.545701463,0.000261263,1.814356339,18,0,1
285,78,68848,0,47,7307.987342,8.385466746,0.00071098,5.005049644,77,0.003299432,1
286,56,68848,0,39,10960.08772,9.073842757,0.00056598,3.931042871,74,0.002240522,1
287,126,68848,0,91,11190,20.64125841,0.00137839,9.423640253,172,0.004266792,1
288,181,68848,0,90,6598.142857,17.4419672,0.001362773,9.668986938,158,0.005585626,1
289,135,68848,0,99,10248.43382,20.24411393,0.001479912,10.03919067,182,0.004154571,1
290,43,68848,0,29,13110.18182,8.378451394,0.000435395,2.797249683,56,0.000986795,1
291,21,68848,0,13,12277.77273,3.92323781,0.000203202,1.376961493,14,0,1
292,92,68848,0,40,8658.268817,11.69543494,0.000609225,4.074705003,42,0,1
293,106,1257,82,37,110.8971963,9.432432432,0.050356053,15.2094318,171,0.460365172,1
294,6,1257,0,0,77.85714286,0.433227345,0,0,0,0,1
295,215,1257,9,6,52.31018519,8.981717011,0.004536862,1.497742459,12,0,1
296,88,1257,0,2,35.50561798,2.511923688,0.002201027,0.284746959,3,0,1
297,34,307,0,4,29.45714286,3.347402597,0.011173184,0.41378789,4,0,1
298,1,205,0,0,16,0.155339806,0,0,0,0,1
299,80,813,0,14,170.5925926,16.97542998,0.017045455,1.438960623,15,0,1
300,291,380,0,16,73.67465753,56.46456693,0.025954198,1.635192063,17,0,1
301,41,369,0,1,50.16666667,5.694594595,0.002336449,0.098557939,1,0,1
302,55,271,0,13,28.85714286,5.941176471,0.024856597,1.699465009,24,0.007796909,1
303,222,206,0,1,14.17488789,15.2705314,0.006944444,0.39853976,5,0.004497354,1
304,5,206,0,0,7.166666667,0.207729469,0,0,0,0,1
305,630,420,99,129,46.08399366,69.07125891,0.028231344,27.01256932,322,0.338572979,1
306,16,51,0,2,4.058823529,1.326923077,0.030769231,0.36556686,3,0.006944444,1
307,33,1952,0,1,57.76470588,1.00563236,0.00050226,0.113232076,1,0,1
308,183,1952,0,0,27.89673913,2.628264209,0.000934579,0.341284604,2,0,1
309,1,1952,0,0,29.5,0.030209933,0,0,0,0,1
310,221,169,5,3,35.37387387,46.19411765,0.039800995,2.508464599,32,0.032174883,1
311,2,971,0,0,32,0.098765432,0,0,0,0,1
312,64,971,0,6,71.03076923,4.75,0.005612722,0.625563057,6,0,1
313,81,113,0,0,3.902439024,2.807017544,0.005154639,0.148226936,2,0.001175088,1
314,74,3946,0,68,2492.8,47.36762098,0.017650025,8.009901859,130,0.012191387,1
315,184,3946,0,86,1547.308108,72.52394223,0.021433851,9.821495099,158,0.01392014,1
316,71,3946,0,59,2353.125,42.92500633,0.015357503,7.198505823,118,0.014192994,1
317,160,3946,0,70,1419.074534,57.88472257,0.017526537,8.108789673,130,0.012557253,1
318,73,3946,0,63,2436.932432,45.68862427,0.015861027,7.216591501,119,0.010996695,1
319,496,3946,0,99,715.6016097,90.10742336,0.023181088,11.39100509,101,0,1
320,412,3946,0,81,779.2421308,81.5371168,0.019105312,9.207738726,82,0,1
321,82,3946,0,13,781.5662651,16.43526729,0.003225006,1.26440267,13,0,1
322,162,3946,0,92,1726.159509,71.28553332,0.023325062,10.64783969,169,0.015968473,1
