,sink_pre_siz,source_suc_siz,pre_pre_cos,suc_pre_cos,uhi,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Resource_allocation_index,Within_inter_cluster,Label
83,29,61387,0.149694811,0.016211392,0.166331255,21,11730.36667,5.732569883,0.000863104,22000,1
84,1,61387,0,0,0.178676651,0,2102,0.06848244,0,0,1
85,39,61387,0.154332749,0.017230268,0.137477066,25,7552.375,4.92107578,0.002317224,2.374703162,1
86,5,61387,0.063757671,0.006590868,0.127332744,4,4816.833333,0.470792337,0.000165743,0,1
87,8,61387,0.03904344,0.004036066,0.099504468,3,1733.666667,0.254170196,0.000283398,0,1
88,26,61387,0.142764359,0.017088308,0.180932207,19,12819.96296,5.638544993,0.000562931,0,1
89,2,61387,0,0,0.142651651,0,49.66666667,0.002427184,0,0,1
90,10,61387,0.047088161,0.006084598,0.106056282,4,4844.818182,0.868133837,0.000557169,0,1
91,643,61387,0.424633476,0.044373075,0.156623956,276,3125.47205,32.78823223,0.039779814,2.313926582,1
92,21,61387,0.141509521,0.016349351,0.240210339,17,19210.09091,6.884439956,0.000260333,17.98201798,1
93,12,61387,0.086629616,0.008955226,0.144487268,8,10233.46154,2.167117352,0.00054012,0,1
94,20,61387,0.119279681,0.013211127,0.111074544,14,6408.904762,2.192399166,0.001748558,0,1
95,156,61387,0.392616728,0.041874707,0.244843166,126,9206.401274,23.54539975,0.008406697,2.852857269,1
96,64,61387,0.188866968,0.022527557,0.193215105,39,10393.26154,11.00478921,0.001284825,4.624421947,1
97,54,61387,0.257966206,0.027755374,0.2643711,49,15364.29091,13.76549163,0.001284176,11.74706323,1
98,190,61387,0.242957241,0.024823356,0.124312731,86,4133.926702,12.86212289,0.009866776,3.99977779,1
99,40,61387,0.225609756,0.023952449,0.236590186,37,15553.43902,10.38787711,0.001006521,6.598680264,1
100,13,61387,0.083478387,0.008629472,0.132229198,8,9734.357143,2.219994136,0.000214786,0,1
101,16,61387,0.123102528,0.012725567,0.121863221,13,6923.058824,1.917182511,0.000506378,0,1
102,52,61387,0.209158131,0.021621456,0.192058671,39,10902.15094,9.412491041,0.002516533,11.99600133,1
103,58,61387,0.223653012,0.02522165,0.192802427,44,10172.57627,9.776861927,0.002849138,6.998833528,1
104,19,61387,0.113494923,0.013537377,0.108893198,13,6263.85,2.040740861,0.002251865,0,1
105,1,61387,0,0,0.19727431,0,7249.5,0.236186225,0,0,1
106,71,61387,0.220863052,0.024258402,0.175450294,48,8477.625,9.943132208,0.00276487,3.636033088,1
107,122,61387,0.341481562,0.036028062,0.210993086,97,8844.97561,17.72222584,0.00719969,4.210304721,1
108,12,61387,0.10828702,0.011194033,0.149753871,10,11362.07692,2.406121718,0.000334172,0,1
109,23,61387,0.159394178,0.017301029,0.184249766,20,14515.04167,5.674740992,0.000535798,19.98001998,1
110,23,61387,0.175333596,0.018948746,0.236898826,22,18302.54167,7.155486414,0.00033258,0,1
111,2,61387,0.045083482,0.004660448,0.143282046,2,1284,0.06274842,0.000257081,0,1
112,10,61387,0.082404282,0.009735357,0.146360811,7,9719.636364,1.741643318,0.000747858,0,1
113,48,61387,0.21752774,0.023063234,0.19973875,39,12691.02041,10.12999283,0.001285362,9.247688078,1
114,94,61387,0.056080815,0.005797283,0.063242456,14,1962.578947,3.037157099,0.001794682,0,1
115,3,61387,0,0,0.123539953,0,13.5,0.000879651,0,0,1
116,26,61387,0.157792186,0.017088308,0.171076038,21,11865.96296,5.218951587,0.000716427,0,1
117,52,61387,0.219884189,0.023284645,0.193205159,41,11646.50943,10.05514107,0.001629423,5.284959292,1
118,27,61387,0.162327367,0.01754313,0.143566405,22,10617.42857,4.842770574,0.000924711,10.49475262,1
119,19,61387,0.148416438,0.01534236,0.136624408,17,9328.8,3.039291067,0.000758452,4.665111629,1
120,46,61387,0.233497916,0.02413755,0.145907616,41,8204.851064,6.281814035,0.001681762,0,1
121,46,652,0.023980057,0.017124415,0.096350514,1,36.08510638,2.597243492,0.003197312,3000,1
122,6,192,0.315244162,0.081619434,0.18872057,4,27.71428571,1.005181347,0.011151463,4000,1
123,43,1988,0.093275313,0.030422772,0.09629142,7,230.0454545,5.088989442,0.000122659,0,1
124,290,1988,0.202075251,0.069664574,0.10789167,39,163.5841924,23.93313223,0.013939281,0.374990625,1
125,14,1988,0.022821773,0.017368337,0.065236077,1,61.26666667,0.462041227,0.006587153,1.998001998,1
126,51,1988,0.134829843,0.034203742,0.089886385,11,183.5,4.797385621,0.086304859,4.099590041,1
127,2,5945,0.040824829,0.007487329,0.248022024,1,766.3333333,0.386646485,1.31E-06,0,1
128,1,5945,0,0,0.256841789,0,203,0.068281197,0,0,1
129,107,5945,0.129278625,0.022461987,0.125164224,19,463.4074074,8.417087117,0.000547923,0,1
130,4,5945,0.063245553,0.01159932,0.176965554,2,464.6,0.390682812,0.00052543,0,1
131,8,5945,0,0,0.118929889,0,91.22222222,0.138076017,0,0,1
132,16,5945,0.12004901,0.022017151,0.142448797,7,660.1764706,1.887487386,0.000142827,0,1
133,5,5945,0.057735027,0.010588682,0.158211135,2,257.3333333,0.259670367,0.000302616,0,1
134,13,5945,0.075592895,0.01039788,0.132734061,4,534.1428571,1.257652203,7.13E-05,0,1
135,2,5945,0.081649658,0.014974658,0.238134107,2,735.6666667,0.371173898,2.53E-05,0,1
136,5,303,0,0,0.120532356,0,4.666666667,0.092105263,0,0,1
137,3,68848,0,0,0.115064115,0,2178,0.126537786,0,0,1
138,58,68848,0.196157122,0.02282354,0.2732534,45,17468.11864,14.96926608,0.001205184,5.713469504,1
139,17,68848,0.10259464,0.010779439,0.171557594,13,16180.11111,4.230155848,0.000241788,0,1
140,11,68848,0.077324467,0.008801375,0.131470242,8,11551.16667,2.013304478,0.000306382,0,1
141,147,68848,0.291737717,0.033206736,0.236421634,106,10216.10135,21.96085637,0.007414457,2.114225308,1
142,60,68848,0.201488616,0.02342219,0.251478994,47,15965.65574,14.14552136,0.001828366,7.165472421,1
143,57,68848,0.180255047,0.020517339,0.200012152,41,13584.46552,11.44386992,0.001789081,4.249468816,1
144,32,68848,0.145713776,0.016585716,0.187529248,25,15156.15152,7.264491859,0.00070305,3.99920016,1
145,70,68848,0.206629223,0.024876238,0.240636114,52,14245.66197,14.69072899,0.005345695,4.599540046,1
146,4,68848,0.029947637,0.005113137,0.153587574,2,14461.6,1.050240381,0.000153568,0,1
147,47,68848,0.18364561,0.020353181,0.242199514,38,16438.39583,11.46048599,0.001238818,8.497875531,1
148,24,68848,0.133929906,0.015244429,0.233721099,20,20534.28,7.456273875,0.000475062,18.98101898,1
149,40,68848,0.162101614,0.018451044,0.224546473,31,17059.4878,10.15902918,0.000540938,3.428081703,1
150,24,68848,0.093750934,0.012195544,0.167549912,14,14019.8,5.09077837,0.003097543,0,1
151,25,68848,0.131329078,0.014948393,0.184775757,20,15798.80769,5.966230446,0.00128227,19.98001998,1
152,113,68848,0.275961069,0.031054033,0.211352811,88,10129.73684,16.77279263,0.008010418,4.235044997,1
153,114,68848,0.262269591,0.030207945,0.209013829,84,10046.11304,16.78024372,0.005810347,2.825964089,1
154,38,68848,0.123314204,0.013425843,0.139897929,23,9648.230769,5.465308138,0.002097607,2.83286119,1
155,39,68848,0.16940942,0.019282847,0.236974308,32,18213.925,10.58195471,0.000770991,14.99250375,1
156,16,68848,0.081206934,0.009243293,0.100402546,10,6944.882353,1.714810673,0.000510497,0,1
157,51,68848,0.199656915,0.02114022,0.211824105,43,14900.67308,11.25412134,0.002146145,2.142704093,1
158,35,68848,0.145090732,0.015879614,0.187505816,26,14074.97222,7.359569493,0.001067477,5.498625344,1
159,8,68848,0.055804128,0.006351846,0.139869068,5,10521.44444,1.375372191,0.00026457,0,1
160,58,68848,0.135130462,0.015381081,0.072681823,31,3641.40678,3.120495577,0.005217486,0,1
161,32,68848,0.151542327,0.017249144,0.257861525,26,20587.39394,9.867739546,0.00046801,25.97402597,1
162,19,68848,0.074869094,0.007669706,0.162973851,10,13000.5,3.77652544,0.000158949,0,1
163,90,68848,0.154436359,0.016779529,0.153535486,44,7766.604396,10.26537786,0.002716447,0,1
164,35,68848,0.106027842,0.01397406,0.111540521,19,7215.555556,3.772894305,0.001458803,3.399320136,1
165,23,68848,0.136691638,0.014780842,0.138900354,20,10779.58333,3.757643539,0.000528815,0,1
166,11,68848,0.077324467,0.008801375,0.141854252,8,13524,2.357158419,0.000264,0,1
167,344,68848,0.356921916,0.041652174,0.195706618,198,5979.368116,29.96241049,0.025672494,2.338671957,1
168,32,68848,0.075771163,0.008624572,0.103370358,13,6112.757576,2.929904574,0.001189889,0,1
169,18,68848,0.084495476,0.009617608,0.186997645,11,16798,4.635680983,0.000298526,0,1
170,40,68848,0.167330698,0.018451044,0.220763544,32,16203.19512,9.649101657,0.001361166,9.996667777,1
171,53,68848,0.173142741,0.020745041,0.150615213,38,9486.5,7.440500225,0.003616951,3.444061771,1
172,72,68848,0.192022546,0.022748875,0.199627301,49,11064.76712,11.73187701,0.002839248,5.499312586,1
173,5,68848,0.013669164,0.001555878,0.125143858,1,8968,0.781536406,3.01E-05,0,1
174,49,68848,0.13731898,0.015630187,0.201663034,29,13628.1,9.89709364,0.001225141,3.832694551,1
175,57,68848,0.175858582,0.019016071,0.121877158,40,7460.827586,6.285174803,0.002795439,2.153680486,1
176,360,68848,0.098685194,0.011232737,0.078860494,56,2143.188366,11.23750527,0.01411286,0,1
177,31,68848,0.094702745,0.010779439,0.083764765,16,4505.90625,2.094278784,5.660141304,3.849951876,1
178,26,68848,0.096655584,0.012468615,0.143628722,15,10333.92593,4.052578832,0.001139571,7.496251874,1
179,164,68848,0.208528581,0.02343885,0.161357517,80,6603.139394,15.82474691,7.845329821,0,1
180,79,68848,0.217120371,0.025139591,0.197200183,58,11159.95,12.96745051,0.004986793,8.99850025,1
181,30,68848,0.144327127,0.015743387,0.212798582,24,17869.45161,8.045912068,0.000420404,3.799240152,1
182,92,68848,0.166654612,0.018178897,0.137638786,48,6930.268817,9.361283388,0.003419642,0,1
183,163,68848,0.311130517,0.035414101,0.2232133,119,9601.97561,22.87214048,0.007622703,2.485643267,1
184,19,68848,0.11230364,0.013635032,0.159519529,15,14458.2,4.199973856,0.000529906,0,1
185,23,68848,0.123022474,0.014002903,0.232439488,18,20853.75,7.269386629,0.000372417,0,1
186,46,68848,0.131865871,0.015009493,0.166511935,27,10660.08511,7.277142733,0.002096484,5.748562859,1
187,56,68848,0.186264219,0.02170612,0.142075914,42,9203.666667,7.61970399,0.003064332,3.299670033,1
188,110,68848,0.254241282,0.030385681,0.215617753,80,10580.00901,17.05734288,0.006186416,4.999642883,1
189,4,68848,0.029947637,0.003408758,0.098096463,2,1891.8,0.137387616,0.000518938,0,1
190,251,68848,0.354345224,0.041293278,0.228844531,168,8052.968254,29.47534459,0.01601188,3.702602632,1
191,45,68848,0.167848542,0.019105182,0.181153576,34,12206.6087,8.155586864,0.002388355,6.198760248,1
192,95,68848,0.273383276,0.031117561,0.27879966,80,14822.32292,20.6675914,0.002137197,2.192223376,1
193,56,68848,0.155220182,0.017162979,0.204639601,35,13139.40351,10.87809554,0.001124764,5.99880024,1
194,21,68848,0.10707732,0.013000493,0.20403224,15,18474,5.903179422,0.000819344,0,1
195,27,68848,0.069603526,0.007922547,0.07051061,11,3527.607143,1.434632311,0.000725817,0,1
196,64,68848,0.182731564,0.022217355,0.177163884,44,10597.50769,10.00505454,0.003605925,4.999375078,1
197,56,68848,0.212873393,0.023725294,0.247850306,48,16110.22807,13.33763744,0.002314831,10.99725069,1
198,150,68848,0.321522305,0.037217222,0.248819198,118,10767.02649,23.61430086,0.01129081,4.304160689,1
199,37,68848,0.141220948,0.016074324,0.210023146,26,15718.65789,8.67563799,0.001401727,4.399120176,1
200,37,68848,0.130357798,0.015456081,0.261094044,24,19318.68421,10.66260948,0.001123084,25000,1
201,8,68848,0.078125779,0.008892584,0.164532367,7,17255.66667,2.255675464,0.000154961,0,1
202,9,68848,0.052940444,0.00602589,0.147982368,5,12255.9,1.780113001,0.000251562,0,1
203,29,68848,0.13448679,0.015307816,0.151197753,22,11987.36667,5.223329315,0.001362328,2.666222296,1
204,50,68848,0.164096958,0.019745486,0.169219877,35,10725.58824,7.94499557,0.001743561,6.398720256,1
205,160,68848,0.303460714,0.034240736,0.234463891,115,9795.503106,22.9063022,0.008980044,3.370245546,1
206,63,68848,0.154856454,0.018579148,0.141566988,37,8357.3125,7.768711238,0.005199411,2.899710029,1
207,132,68848,0.177101234,0.02081929,0.154406982,61,6782.954887,13.10306613,0.005971495,2.047521547,1
208,7,68848,0.047351372,0.00538972,0.093232742,4,3862.75,0.448837311,4.24E-05,0,1
209,31,68848,0.124297353,0.012800584,0.16949259,21,12882,5.987363651,0.000493518,0,1
210,44,68848,0.179685824,0.019884422,0.221728677,36,16010.88889,10.46478525,0.001493156,4.142265391,1
211,29,68848,0.116147682,0.013916196,0.155419217,19,11512.06667,5.01622391,0.001817904,5.664778407,1
212,150,68848,0.302448948,0.033805643,0.230050758,111,10151.4106,22.26412875,0.008761717,2.999892861,1
213,63,68848,0.184153621,0.019531925,0.196510744,44,12185.42188,11.32720882,0.001776612,2.666444463,1
214,7,68848,0.059189215,0.00673715,0.122008962,5,7054.25,0.819677846,0.000215811,0,1
215,121,68848,0.221289352,0.02622315,0.18297489,73,8774.860656,15.54899853,0.008659798,2.899855007,1
216,51,68848,0.134652338,0.017440681,0.162650258,29,9950.769231,7.515577568,0.00345314,3.124609424,1
217,59,68848,0.164257627,0.019188462,0.14444082,38,8534.016667,7.437159581,0.002764579,0,1
218,5,68848,0.041007491,0.004667634,0.131314294,3,7758.5,0.676131825,0.000112776,0,1
219,7,68848,0.023675686,0.00269486,0.125315506,2,8717.375,1.01292684,0.000199135,0,1
220,2,68848,0.019331117,0,0.144163937,1,3667.666667,0.159813505,0.000151263,0,1
221,129,68848,0.276041101,0.031420085,0.287221048,94,13042.21538,24.62618193,0.00367872,4.444197545,1
222,56,68848,0.115306421,0.013124631,0.117810477,26,6844.087719,5.666211564,0.004831525,0,1
223,6,68848,0.03796556,0.00432139,0.1668819,3,16996.85714,1.728100626,3.66E-05,0,1
224,36,68848,0.154125586,0.018169723,0.251043642,28,19633.18919,10.55103197,0.000472411,6.248437891,1
225,9,68848,0.042352355,0.004820712,0.07366751,4,1605.6,0.233206002,0.001126408,0,1
226,32,68848,0.163199429,0.018576002,0.208205618,28,16738.81818,8.023079493,0.001296207,26.97302697,1
227,24,68848,0.107143925,0.012957765,0.191928182,16,16198.36,5.881842874,0.000359543,15.98401598,1
228,85,68848,0.16969389,0.020137151,0.194531783,47,10648.93023,13.3016892,0.001815185,5.99914298,1
229,3,68848,0.033482477,0.003811107,0.166905181,2,11694.75,0.67944342,5.06E-05,0,1
230,8,68848,0.089286604,0.010162953,0.139040587,8,11974.44444,1.565309591,0.000187864,0,1
231,73,68848,0.221858754,0.026138902,0.209859726,57,12484.94595,13.41901843,0.003447994,3.999666694,1
232,6,68848,0.03796556,0.00432139,0.133059822,3,12472.28571,1.26807942,0.000105628,0,1
233,178,68848,0.167674052,0.019085321,0.131281852,67,5134.592179,13.34938779,0.00695471,0,1
234,114,68848,0.287247647,0.034117209,0.262373905,92,13063.07826,21.81954712,0.005253198,7.817471139,1
235,3,68848,0.016741238,0.001905554,0.146317457,1,10874.75,0.631802931,1.88E-05,0,1
236,10,68848,0.070667426,0.008043645,0.097393658,7,5458.909091,0.87216953,0.000299883,0,1
237,74,68848,0.208776062,0.024203782,0.207282359,54,12120.21333,13.20303853,0.00379794,12.99675081,1
238,32,68848,0.099085367,0.011941715,0.153884577,17,10658.78788,5.108861421,0.001536426,3.499125219,1
239,37,68848,0.086905199,0.009273649,0.083378063,16,4886.789474,2.697177882,0.000566523,0,1
240,116,68848,0.244541028,0.028891634,0.224448938,79,10812.77778,18.37492193,0.005803722,7.399260074,1
241,24,68848,0.120536915,0.014482208,0.196033639,18,17094.32,6.207178027,0.001108689,0,1
242,30,68848,0.108245346,0.012320912,0.170264162,18,13992.70968,6.300367471,0.000548195,7.996001999,1
243,36,68848,0.176143527,0.020675892,0.253446645,32,19618.59459,10.54318872,0.000768195,15.49225387,1
244,18,68848,0.092176883,0.012240592,0.19227096,12,18016.21053,4.971865968,0.000396048,5.997001499,1
245,22,68848,0.104723685,0.013509404,0.202821409,15,18637.95652,6.226277796,0.001259666,4.665111629,1
246,32,68848,0.163199429,0.01923943,0.156362259,28,11404.78788,5.466426528,0.001389585,1.416548621,1
247,38,68848,0.134037179,0.018307968,0.151793035,25,10661.82051,6.039463173,0.002985796,3.999333444,1
248,6,68848,0.03796556,0.005761853,0.127157958,3,8018,0.815204288,0.000172205,0,1
249,136,68848,0.294641905,0.033537302,0.252721444,103,11386.48175,22.65752589,0.004725401,2.851746232,1
250,44,68848,0.18966837,0.022156927,0.246321931,38,17467.75556,11.41699952,0.001395731,18.99050475,1
251,49,68848,0.170464941,0.018325047,0.139178595,36,9121.78,6.624482563,0.002727332,1.571316335,1
252,8,68848,0.044643302,0.005081476,0.14442096,4,12380.66667,1.618411306,0.000180962,0,1
253,23,68848,0.123022474,0.013224964,0.219942497,18,18357.125,6.399090764,0.000455229,16.98301698,1
254,3,68848,0.016741238,0.001905554,0.170939623,1,11529,0.66981365,3.74E-05,0,1
255,206,68848,0.351406142,0.040528212,0.249000878,151,9284.985507,27.91604816,0.015069384,3.617540661,1
256,61,68848,0.144577478,0.0174244,0.130826849,34,7814.112903,7.036776133,0.005310678,2.599740026,1
257,20,68848,0.065758278,0.007484866,0.104726081,9,7336.47619,2.237737658,0.000951258,1.249687578,1
258,112,68848,0.223633417,0.025813355,0.201064938,71,9651.19469,15.84024459,0.004040984,1.807622784,1
259,42,68848,0.158286924,0.018016841,0.178712439,31,12868.2093,8.036906854,0.001917647,2.87464067,1
260,31,68848,0.124297353,0.014821729,0.142881142,21,10574.03125,4.914653808,0.001750337,0,1
261,81,68848,0.203363654,0.023989385,0.239320467,55,12989.67073,15.47085651,0.003206848,5.332740807,1
262,139,68848,0.288638146,0.032531833,0.252087956,102,11411.6,23.20475243,0.005039969,4.526077575,1
263,297,68848,0.374340443,0.042829675,0.223957302,193,7216.255034,31.23420819,64.82015708,7.435114818,1
264,12,68848,0.055718209,0.005285055,0.12621721,6,10627.15385,2.006608665,0.000471958,0,1
265,13,68848,0.062639978,0.007129929,0.081791374,7,3928.071429,0.798747985,0.001958552,0,1
266,104,68848,0.26140441,0.028638302,0.26734968,80,13678.3619,20.8605499,0.002653537,3.705664373,1
267,40,68848,0.177788867,0.019641434,0.237248798,34,17727.73171,10.55697251,0.000816083,7.498125469,1
268,142,68848,0.097998087,0.010517127,0.054192037,35,1872.902098,3.890034714,1.489372144,0,1
269,25,68848,0.111629716,0.014200973,0.170212726,17,13320.26923,5.030240091,0.002029986,2.799440112,1
270,17,68848,0.10259464,0.011677726,0.146458303,13,13474.05556,3.522680068,0.000470756,13000,1
271,93,68848,0.241741764,0.028302171,0.211892093,70,11082.46809,15.13096777,0.005015615,2.599870006,1
272,4,68848,0.014973819,0.001704379,0.173934178,1,15463.2,1.122979273,3.74E-05,0,1
273,242,68848,0.369439122,0.043762394,0.226037202,172,8191.292181,28.9108629,0.017474781,2.833274307,1
