,sink_pre_siz,source_suc_siz,Common_Following,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Resource_allocation_index,Within_inter_cluster,Label
316,71,3946,0,59,2353.125,42.92500633,0.014315644,14.24643839,1
317,160,3946,0,70,1419.074534,57.88472257,0.013094869,4.916256979,1
318,73,3946,0,63,2436.932432,45.68862427,0.011316123,7.998857306,1
319,496,3946,0,99,715.6016097,90.10742336,0.017476783,0,1
320,412,3946,0,81,779.2421308,81.5371168,0.013671106,0,1
321,82,3946,0,13,781.5662651,16.43526729,0.001068486,0,1
322,162,3946,0,92,1726.159509,71.28553332,0.016701912,3.947160676,1
323,157,3946,0,80,1606.803797,64.32100329,0.013905731,3.555358036,1
324,99,3946,0,80,2280.29,57.77273879,0.01540463,7.199280072,1
325,104,3946,0,80,2152.590476,57.26425133,0.01777658,8.221308743,1
326,82,3946,0,68,2305.289157,48.47707119,0.011631513,5.899410059,1
327,108,3946,0,87,2278.944954,62.93514061,0.016101541,5.428183701,1
328,1,1158,0,0,37.5,0.064710958,0,0,1
329,13,1158,0,1,73,0.881794651,0.005276014,0.999000999,1
330,50,511,0,1,25.2745098,2.517578125,5.06E-05,0,1
331,87,511,0,4,28.36363636,4.875,0.001108599,0,1
332,475,704,0,20,67.92226891,45.85957447,0.00275829,0,1
333,17,445,0,4,39.88888889,1.609865471,0.00274983,4000,1
334,3,445,0,0,27,0.242152466,0,0,1
335,26,9418,0,15,1851.259259,5.306720459,0.000240437,0,1
336,39,9418,0,9,821.275,3.487737552,0.000305808,0,1
337,106,9418,0,34,1396.205607,15.86091942,0.001557777,0,1
338,41,9418,0,23,902.4047619,4.023887886,0.005281434,0,1
339,48,9418,0,18,1433.22449,7.455993205,0.002763017,0,1
340,34,9418,0,22,1170.942857,4.351098843,0.004333636,0,1
341,400,9418,0,110,866.3890274,36.88523198,0.011711699,0,1
342,80,9418,0,24,1219.666667,10.48869307,0.000891038,0,1
343,23,9418,0,10,1355.875,3.454825353,0.000884134,0,1
344,51,9418,0,25,1278.307692,7.057224758,0.001775551,0,1
345,9,9418,0,3,321.7,0.341543688,0.000496875,0,1
346,1,9418,0,1,666,0.141416286,1.45E-05,0,1
347,19,9418,0,7,484.65,1.029090137,0.003441713,0,1
348,84,9418,0,30,1417.458824,12.79159146,0.000990267,0,1
349,22,9418,0,15,755.7391304,1.845418834,0.003857829,0,1
350,120,9418,0,29,1128.628099,14.49877906,0.002689297,0,1
351,9,262,0,0,19,0.72243346,0,0,1
352,1106,835,438,69,124.936766,165.4366029,2.270839578,2.910688297,1
353,680,835,0,64,156.7400881,127.6794258,0.003950959,1.206854936,1
354,1,179,0,0,0,0,0,0,1
355,118,3914,0,46,1050.932773,31.9440613,0.009438129,1.944336426,1
356,1513,3914,2096,111,303.3157199,117.2975734,21.45606084,0,1
357,12,3914,0,1,597.6153846,1.984418902,3.51E-05,0,1
358,545,3914,0,83,543.8937729,75.85338442,0.003956277,0,1
359,181,3914,0,67,895.8516484,41.64623244,0.007396771,0.489785923,1
360,124,3914,0,38,808.128,25.80229885,0.001396792,0,1
361,512,3914,0,92,599.7699805,78.59054917,0.004507609,0,1
362,35,3914,0,15,789.4444444,7.259259259,0.000329973,0,1
363,40,3914,0,29,1232.560976,12.90804598,0.000463129,0,1
364,146,3914,0,44,864.8435374,32.47305236,0.007048428,1.227216945,1
365,18,1074,0,0,39.10526316,0.691162791,0,0,1
366,1,287,0,0,24.5,0.170138889,0,0,1
367,15,1132,0,3,136.0625,1.921447485,0.002405153,0,1
368,24,1132,0,2,30.8,0.67961165,0.003573421,0.499750125,1
369,19,131,0,4,21.8,3.303030303,0.003026287,4000,1
370,22,1847,0,4,238.3913043,2.966991342,0.000740976,2.997002997,1
371,335,1847,0,82,389.7529762,70.86417749,0.006134299,2.782487718,1
372,205,263,8,5,27.47572816,21.43939394,0.03634644,8.495752124,1
373,141,2099,0,14,139.6619718,9.443809524,0.014572784,1.799820018,1
374,9,2099,0,3,307.3,1.463333333,0.000365022,0,1
375,62,2099,12,4,101.2857143,3.038571429,0.068801052,0,1
376,105,2099,0,10,202.3207547,10.21238095,0.023686523,4.399120176,1
377,423,2099,287,38,195.9410377,39.56142857,1.170744591,8.967452663,1
378,76,2099,0,13,222.3376623,8.152380952,0.006974361,0,1
379,483,2099,70,28,140.927686,32.48047619,0.179648852,10.58245146,1
380,107,2099,0,14,224.4814815,11.5447619,0.008666856,0.933271115,1
381,181,130,5,0,15.76923077,21.90839695,0.003731029,4.995004995,1
382,27,1996,0,6,275.3928571,3.861291938,0.000134109,0,1
383,270,1996,137,40,199.1697417,27.02804206,0.264552889,5.608451806,1
384,34,1996,0,4,250.0285714,4.38207311,0.002908523,0,1
385,48,72,0,0,6.06122449,4.068493151,0,0,1
386,67,4174,0,44,2350.117647,38.27736527,0.010004988,6.427653192,1
387,210,4174,0,67,1286.293839,65.00790419,0.013440643,4.571102064,1
388,104,4174,0,71,2344.6,58.96598802,0.016952083,12.8311948,1
389,78,4174,0,42,2009.898734,38.03161677,0.009008574,7.332111315,1
390,153,4174,0,53,1339.88961,49.42347305,0.010264561,3.571173488,1
391,195,4174,0,74,1475.377551,69.26323353,0.014584785,3.722015444,1
392,96,4174,0,60,2118.14433,49.21197605,0.012846722,8.713040994,1
393,28,4174,0,16,2045.62069,14.2091018,0.003588049,19.98001998,1
394,52,4174,0,5,802.509434,10.18754491,7.41E-05,0,1
395,82,4174,0,63,2639.493976,52.47377246,0.01731742,7.332518609,1
396,193,4174,0,65,1396.340206,64.88383234,0.012257418,3.999733351,1
397,17,3333,0,5,488.8888889,2.639472106,0.000131391,0,1
398,201,3333,0,18,375.2326733,22.73455309,0.000991477,0,1
399,68,3333,0,12,380.2753623,7.870125975,0.002297425,0,1
400,43,3333,0,7,515.8409091,6.807738452,0.001010677,0,1
401,31,3333,0,3,444.65625,4.267846431,4.98E-05,0,1
402,221,146,0,3,10.23423423,15.45578231,0.000225278,1.998001998,1
