,Source,Sink,Label
109110,6618,2179043,1
109401,6618,2199449,1
110109,6618,2249010,1
110155,6618,2252678,1
110473,6618,2274225,1
110708,6618,2290870,1
110915,6618,2305007,1
111195,6618,2325196,1
111245,6618,2328899,1
112300,6618,2401474,1
112455,6618,2412207,1
113761,6618,2500331,1
114281,6618,2538735,1
115477,6618,2620996,1
115552,6618,2627482,1
115912,6618,2651532,1
116973,6618,2728694,1
118100,6618,2808116,1
118193,6618,2814959,1
119377,6618,2897650,1
119536,6618,2908679,1
119718,6618,2921613,1
119849,6618,2931819,1
120716,6618,2991879,1
120810,6618,2998147,1
121710,6618,3060846,1
121861,6618,3071706,1
122145,6618,3091022,1
123072,6618,3155261,1
123233,6618,3167390,1
123427,6618,3180477,1
123628,6618,3194130,1
124245,6618,3236000,1
124697,6618,3267129,1
124769,6618,3272368,1
125382,6618,3318005,1
125475,6618,3324584,1
125585,6618,3332677,1
125850,6618,3352041,1
126270,6618,3382056,1
126350,6618,3387639,1
126454,6618,3395564,1
126551,6618,3403020,1
126591,6618,3405280,1
127260,6618,3450714,1
127484,6618,3467217,1
127700,6618,3481640,1
128211,6618,3514147,1
128452,6618,3531977,1
128635,6618,3545076,1
129620,6618,3612885,1
130360,6618,3663967,1
130452,6618,3668654,1
131134,6618,3717775,1
132077,6618,3782816,1
132119,6618,3786289,1
132210,6618,3791787,1
132232,6618,3793691,1
132468,6618,3812534,1
132692,6618,3827839,1
132815,6618,3838031,1
133817,6618,3910135,1
134117,6618,3932704,1
135272,6618,4020208,1
135647,6618,4045537,1
135842,6618,4058741,1
135877,6618,4061273,1
136153,6618,4082547,1
138096,6618,4221754,1
139246,6618,4305055,1
139388,6618,4316009,1
139523,6618,4326311,1
139870,6618,4348968,1
139995,6618,4358471,1
140105,6618,4366572,1
141568,6618,4466216,1
141736,6618,4479212,1
142280,6618,4516240,1
142620,6618,4540817,1
143041,6618,4572888,1
143098,6618,4576219,1
143206,6618,4584528,1
143581,6618,4609981,1
144019,6618,4641299,1
144264,6618,4659451,1
144502,6618,4677471,1
144875,6618,4702825,1
145052,6618,4714340,1
145928,6618,4776209,1
146270,6618,4799040,1
147116,6618,4857433,1
147709,8722,318045,1
147712,8722,329251,1
148687,8722,4162561,1
148830,8722,4723634,1
149535,10760,3716107,1
149904,11193,4422747,1
150516,11437,3428812,1
151988,13980,4450985,1
152161,14652,1703203,1
152563,14861,3001729,1
152776,15030,2684777,1
152808,15030,3215433,1
153083,15403,2439199,1
153343,15410,3456567,1
153560,16934,88823,1
154011,16934,1136986,1
154506,16934,2403640,1
155583,17308,2995131,1
155731,17330,473530,1
156457,17330,3998351,1
157036,17862,1057633,1
157986,18228,825813,1
158149,18228,1032112,1
158391,18228,1339484,1
158429,18228,1377120,1
158932,18228,1958353,1
159122,18228,2193501,1
159636,18228,2862465,1
160034,18228,3362698,1
160074,18228,3421847,1
160221,18228,3641627,1
160422,18228,3887193,1
160862,18228,4388662,1
161042,18228,4593104,1
161123,18228,4690944,1
161485,18762,463607,1
162338,18762,3970960,1
162731,19124,138053,1
163197,19124,4468311,1
163814,19398,3988850,1
165138,20836,657715,1
165265,20836,2133388,1
166391,21944,35188,1
168549,21944,1172103,1
168920,21944,1366357,1
169540,21944,1656265,1
169766,21944,1765759,1
170420,21944,2126294,1
171253,21944,2545894,1
171304,21944,2573405,1
171478,21944,2678654,1
172460,21944,3187706,1
173027,21944,3484101,1
173901,21944,3927678,1
175032,21944,4526026,1
175183,21944,4598972,1
175373,21944,4684876,1
175472,21944,4726579,1
175805,22096,1308868,1
176102,22100,593740,1
176685,22100,4043016,1
177264,22275,434459,1
177964,22713,649530,1
178090,22713,805360,1
178173,22713,914921,1
179266,22713,2291276,1
179449,22713,2547866,1
179695,22713,2841424,1
180241,22713,3498400,1
180944,22713,4349447,1
181153,22713,4601475,1
181272,22713,4767353,1
182229,22919,3590154,1
182982,24443,113587,1
183818,24581,1965907,1
184365,24581,4253843,1
184733,25317,2487786,1
185770,25871,116982,1
187169,25871,3771999,1
188644,26287,2444581,1
188778,26760,3995,1
188895,26760,249827,1
189703,26760,2095968,1
190085,26760,2994987,1
190191,26760,3280484,1
190420,26760,3814616,1
190487,26760,3965191,1
190601,26760,4195488,1
191018,28056,1443653,1
191313,28346,409223,1
191664,28346,1255938,1
191946,28346,1964885,1
193141,28556,767030,1
194282,30224,675243,1
195640,30224,2276583,1
195647,30224,2288899,1
195686,30224,2335595,1
196216,30224,2957443,1
196467,30224,3225484,1
196766,30224,3623795,1
196998,30224,3874142,1
197462,30224,4378109,1
197487,30224,4403283,1
197796,30224,4730539,1
199368,31819,417765,1
199613,31819,768802,1
200519,31819,2122419,1
201494,31819,3576110,1
201499,31819,3584204,1
202742,33563,345691,1
202891,33580,2269458,1
203043,33832,2549432,1
204123,34560,981380,1
204259,34560,1221840,1
204335,34560,1373578,1
204528,34560,1711928,1
204663,34560,1936471,1
204703,34560,2004305,1
205225,34560,2941295,1
205567,34560,3549883,1
205902,34560,4158297,1
206221,34560,4737076,1
206626,34811,4408488,1
207210,35349,2316892,1
207340,35349,4509168,1
207689,36074,332619,1
207925,36074,748875,1
208036,36074,954648,1
208248,36074,1331277,1
208285,36074,1404578,1
208595,36074,1967317,1
208637,36074,2032389,1
208685,36074,2131105,1
209287,36074,3272291,1
210145,36240,2291359,1
210767,36838,2504556,1
210786,36838,2614338,1
211256,36972,276539,1
211484,36972,753816,1
211520,36972,817513,1
211699,36972,1175663,1
211829,36972,1449732,1
212719,36972,3321356,1
213268,36972,4468624,1
214056,37351,2127314,1
214258,37351,2784214,1
215919,39894,4182770,1
216348,40000,1516101,1
217226,40565,2105853,1
217708,41224,794949,1
217731,41224,854182,1
218347,41224,2467785,1
219962,41600,2942784,1
220384,41659,1036560,1
220835,41659,3728212,1
224535,44777,1575897,1
224801,44777,4409483,1
225071,45028,530200,1
225440,45028,1380984,1
225701,45028,2037820,1
225872,45028,2490508,1
226038,45028,2911253,1
226408,45028,3836917,1
226929,45860,4373144,1
227532,46697,877654,1
227953,46697,1524033,1
229062,46697,3092943,1
229909,46697,4307109,1
231951,47194,819189,1
235590,47194,4643404,1
236448,47928,831860,1
236875,47928,1406881,1
237804,47928,2611154,1
238802,47928,3895369,1
239248,47928,4447795,1
239321,47928,4528255,1
239661,48170,322986,1
240096,48170,3376745,1
240201,48170,4112332,1
241197,49935,4214769,1
241218,49935,4473983,1
241690,50614,261087,1
241808,50614,470995,1
242587,50614,1987250,1
243159,50614,3135060,1
243274,50614,3408565,1
244790,51185,2016942,1
245174,51185,3169944,1
247100,53878,552807,1
247102,53878,569273,1
247232,53878,842476,1
247849,53878,2191591,1
249090,53878,4718900,1
249119,53878,4778362,1
249327,55290,2851109,1
249363,55290,3508899,1
249624,55758,2801302,1
250342,55855,397373,1
250785,55855,781172,1
251943,55855,1715763,1
251970,55855,1734938,1
253019,55855,2582262,1
253491,55855,2977471,1
253868,55855,3268768,1
254084,55855,3433399,1
254085,55855,3433529,1
254407,55855,3688533,1
254727,55855,3990464,1
255551,55855,4705938,1
255878,57030,551402,1
256047,57574,49423,1
256622,57574,663168,1
256737,57574,781211,1
256858,57574,906128,1
257559,57574,1614153,1
257587,57574,1635215,1
258177,57574,2247977,1
258639,57574,2716645,1
258906,57574,2995096,1
259642,57574,3817802,1
261544,60980,145791,1
262350,60980,330604,1
262756,60980,425330,1
263797,60980,665230,1
264228,60980,765327,1
264387,60980,803758,1
264544,60980,840796,1
264945,60980,931364,1
265361,60980,1025019,1
266340,60980,1261676,1
266469,60980,1293284,1
266843,60980,1382035,1
266865,60980,1387647,1
267688,60980,1581753,1
267748,60980,1595786,1
268296,60980,1721196,1
269962,60980,2122623,1
270448,60980,2238661,1
270955,60980,2355967,1
272097,60980,2618769,1
272404,60980,2688839,1
272452,60980,2703307,1
272762,60980,2782234,1
273685,60980,3014919,1
273847,60980,3052640,1
273932,60980,3074511,1
274008,60980,3091579,1
274358,60980,3169822,1
274850,60980,3286989,1
274917,60980,3303638,1
275095,60980,3348881,1
275274,60980,3388420,1
276315,60980,3624092,1
276882,60980,3756251,1
277143,60980,3820723,1
277225,60980,3842437,1
277230,60980,3843191,1
277358,60980,3873039,1
277838,60980,3984138,1
281163,60980,4765286,1
281396,60980,4813392,1
282173,61085,1387268,1
282734,61085,2851530,1
284719,62950,133821,1
284779,62950,349314,1
284846,62950,566510,1
285797,62950,3352750,1
286111,62950,4413325,1
286186,62950,4607818,1
286557,63547,3686340,1
286983,64321,426151,1
287602,64321,3513900,1
288327,64357,373997,1
288483,64357,479414,1
288666,64357,617399,1
288675,64357,624689,1
289609,64357,1355785,1
290150,64357,1801236,1
290320,64357,1941706,1
290464,64357,2049876,1
291455,64357,2802492,1
291697,64357,2997923,1
292018,64357,3235419,1
292062,64357,3267538,1
292644,64357,3685938,1
293008,64357,3983309,1
293586,64357,4400839,1
294204,64369,343878,1
295407,65586,2895564,1
297305,65840,2538967,1
297816,65840,3249616,1
297946,65840,3412457,1
299131,65845,193620,1
299281,65845,351154,1
299529,65845,666148,1
299928,65845,1118625,1
300032,65845,1264038,1
300059,65845,1299648,1
300134,65845,1400569,1
300355,65845,1636028,1
300533,65845,1867114,1
301305,65845,2797008,1
301654,65845,3240265,1
302008,65845,3689872,1
302132,65845,3850539,1
303301,67097,3430252,1
303312,67097,3832458,1
303834,67454,378301,1
305037,67454,1413868,1
305425,67454,1732622,1
305765,67454,2023470,1
307478,67454,3497993,1
307639,67454,3640261,1
307678,67454,3660937,1
307804,67454,3758978,1
307851,67454,3807090,1
308443,67454,4288369,1
308911,67454,4687119,1
309757,67996,3089261,1
309956,68077,3465381,1
310062,68756,144557,1
310538,69174,4067650,1
311004,69534,74782,1
313095,69534,2391289,1
313484,69534,2814545,1
313786,69534,3179425,1
314056,69534,3483753,1
314213,69534,3658377,1
314866,69534,4394167,1
314915,69534,4439577,1
315445,69708,978623,1
316366,71779,2075427,1
316711,71779,3264213,1
316836,71779,3745488,1
317279,72159,236321,1
317700,72159,1338305,1
317731,72159,1427829,1
318726,72159,3775838,1
318826,72159,4034740,1
320720,73621,4468710,1
321094,74861,326686,1
321153,74861,976812,1
321907,76506,130259,1
322320,76506,1171627,1
322477,76506,1588264,1
322509,76506,1671350,1
323506,76506,4284323,1
323788,77169,2284413,1
324354,77213,1583381,1
325293,77213,4346595,1
325608,77683,567973,1
325769,77683,1161258,1
325859,77683,1520840,1
326345,77683,3505803,1
326546,77683,4281523,1
327194,78836,267980,1
327207,78836,292355,1
327213,78836,297701,1
328053,78836,1489273,1
328151,78836,1621193,1
329606,78836,3637038,1
329888,78836,4031681,1
330332,78836,4630294,1
330364,78836,4668264,1
330849,79095,4191955,1
330938,79267,1223115,1
331398,80080,3308883,1
331809,80085,555286,1
332167,80085,1184388,1
332234,80085,1292356,1
332257,80085,1320967,1
332732,80085,2121669,1
333208,80085,2894019,1
333233,80085,2948118,1
333795,80085,3920885,1
335681,82301,584579,1
335767,82301,2414374,1
335985,82764,272799,1
336130,82764,967566,1
336317,82764,1919500,1
336340,82764,2005585,1
336636,82764,3496016,1
337458,82918,724025,1
338090,82918,1549916,1
338290,82918,1794526,1
339841,82918,3709991,1
340998,83640,3382097,1
341479,84657,594131,1
342725,85156,989164,1
342990,85156,1971704,1
342996,85156,1985185,1
343052,85156,2215155,1
344042,86449,4848310,1
344228,87224,1869405,1
344653,88059,198437,1
344737,88059,634859,1
344959,88059,1663734,1
344992,88059,1808654,1
345188,88059,2551303,1
345541,88059,4059855,1
346131,89251,2361973,1
346470,89337,2600675,1
347113,89426,955090,1
347181,89426,1054628,1
347287,89426,1239518,1
347296,89426,1255904,1
348024,89426,2527762,1
348460,89426,3406329,1
348577,89426,3658675,1
348912,89426,4202026,1
349362,89979,471706,1
349603,89979,2205170,1
350000,90741,570955,1
350512,91116,3316,1
350634,91116,259088,1
351028,91116,1013754,1
352788,91116,4512686,1
352915,91116,4736281,1
353207,91412,3714465,1
353599,92352,84963,1
353744,92352,119728,1
354281,92352,249138,1
354613,92352,321596,1
354947,92352,398512,1
354996,92352,410821,1
355565,92352,552018,1
355801,92352,611781,1
355879,92352,625725,1
356028,92352,663564,1
356789,92352,846208,1
356903,92352,871087,1
357091,92352,917094,1
358400,92352,1223588,1
358497,92352,1243634,1
359070,92352,1382875,1
360194,92352,1650973,1
360223,92352,1658962,1
360531,92352,1737495,1
360737,92352,1787075,1
361589,92352,1988344,1
363254,92352,2380008,1
363265,92352,2382343,1
363705,92352,2486061,1
364719,92352,2720931,1
364972,92352,2779771,1
365614,92352,2940625,1
365911,92352,3011799,1
367008,92352,3266244,1
367370,92352,3349340,1
368135,92352,3527718,1
368574,92352,3643276,1
368665,92352,3668043,1
368695,92352,3675886,1
369239,92352,3798973,1
369392,92352,3837285,1
370500,92352,4095516,1
370958,92352,4206881,1
371592,92352,4350690,1
371729,92352,4381597,1
371874,92352,4410986,1
373391,92352,4764261,1
373733,92352,4844177,1
373962,92906,482603,1
374339,93533,1684341,1
374461,93533,3660662,1
374610,93538,415729,1
374612,93538,419391,1
375289,93538,4629176,1
375376,93638,1391451,1
375929,93752,1825163,1
377051,94189,821392,1
378768,94189,3882689,1
379255,94189,4759451,1
379360,94292,852591,1
379388,94292,1515149,1
379436,94292,2714429,1
380421,94742,1037743,1
380474,94742,1207753,1
380553,94742,1459948,1
380879,94742,2479466,1
384125,97028,743023,1
384430,97028,899750,1
384432,97028,899973,1
384624,97028,1011341,1
385795,97028,1649320,1
386359,97028,1959450,1
386709,97028,2151242,1
387149,97028,2396269,1
387824,97028,2764854,1
388384,97028,3064959,1
388525,97028,3141053,1
388711,97028,3227346,1
388833,97028,3294314,1
389930,97028,3895789,1
390032,97028,3954821,1
390093,97028,3988070,1
390104,97028,3993436,1
390590,97028,4256682,1
392075,97450,671330,1
392364,97450,1415314,1
392845,97450,2574206,1
392864,97450,2620555,1
393167,97450,3405510,1
393738,97450,4824668,1
393836,97640,504862,1
394115,97640,2096270,1
394355,97640,3691520,1
395243,98985,2768384,1
395295,98985,3939029,1
395691,99723,459268,1
396279,100167,2258096,1
396378,100255,3596684,1
396468,100987,497748,1
396654,100987,2542968,1
397104,101147,1845207,1
397367,101147,3876737,1
397558,101381,3278384,1
397728,102106,4333715,1
397769,102159,416101,1
398216,102876,4116865,1
398327,103101,572165,1
398602,103101,3073292,1
398845,103801,1678460,1
399074,104316,235108,1
402372,104540,3648896,1
402483,104540,3842869,1
404047,105414,1311292,1
404058,105414,1334111,1
404344,105414,1998083,1
404600,105414,2558461,1
405248,105414,4035328,1
405472,105414,4501463,1
405798,106944,354904,1
406900,108486,424753,1
408176,108486,2451519,1
408451,108486,2890430,1
408466,108486,2910749,1
408648,108486,3174520,1
409664,108486,4808817,1
410187,109148,1252438,1
410536,109148,2255624,1
410552,109148,2293038,1
410553,109148,2293982,1
411230,109148,4170143,1
412960,110570,4635340,1
414140,111922,261315,1
414637,111922,616078,1
415687,111922,1334627,1
416386,111922,1818740,1
417372,111922,2516678,1
417819,111922,2834673,1
420692,112016,466194,1
421022,112032,350659,1
421658,112408,4616217,1
422222,114344,1188002,1
422534,115086,325832,1
423586,115356,1051801,1
423658,115356,1410101,1
423855,115356,2555468,1
424737,117040,2295210,1
426868,118180,3060714,1
426973,118180,3614938,1
427090,118180,4228192,1
427390,118983,1351375,1
430046,122526,3857425,1
430132,122705,3053018,1
430732,125061,3991379,1
431214,125423,4520935,1
431306,125780,1397431,1
432514,126622,1450239,1
432757,126622,1901674,1
432983,126622,2361881,1
433123,126622,2652639,1
433560,126622,3471568,1
433784,126622,3866209,1
434223,126622,4641848,1
434493,126759,3945459,1
434720,127479,2016763,1
435215,127913,2502257,1
437006,129556,4125647,1
437701,129567,2341423,1
438315,129786,3876737,1
439161,130004,4441870,1
439965,130538,1053,1
440701,130589,1000106,1
441136,131825,946230,1
441227,131825,1448395,1
441538,131825,3248715,1
442211,132251,4384814,1
442246,132251,4711909,1
442944,134515,3298621,1
443967,135188,539201,1
444161,135188,704319,1
444828,135188,1264857,1
445139,135188,1528889,1
445248,135188,1616492,1
445781,135188,2034659,1
446587,135188,2698004,1
446644,135188,2739463,1
446702,135188,2786558,1
446769,135188,2841919,1
447065,135188,3105368,1
447812,135188,3719298,1
449237,135332,320222,1
450088,135360,895913,1
450499,135360,1852309,1
450945,135360,2960818,1
451378,135360,4064060,1
453167,139060,3023674,1
453217,139255,76689,1
453332,139255,445386,1
453845,139255,1877387,1
454647,139255,4360737,1
455336,140022,1894002,1
455475,140459,241454,1
455579,140459,748911,1
458000,141067,1413931,1
458704,141067,3192847,1
458786,141067,3399623,1
459023,141067,3977083,1
459245,141067,4519357,1
461306,141934,94630,1
461439,141934,2329908,1
461531,141934,4076904,1
461824,142476,300439,1
462063,142591,302015,1
463162,143450,4743483,1
463428,144465,47137,1
463918,144465,1374819,1
464564,144465,3117496,1
464690,144465,3463158,1
465110,144465,4656958,1
465753,145506,1286144,1
466121,145506,2705542,1
467130,145635,3777739,1
467155,145635,3985721,1
468528,146390,760236,1
468722,146390,1187411,1
469841,146390,3855751,1
469962,146390,4177885,1
470558,147163,640367,1
472134,148308,2122361,1
473636,148562,3597284,1
473837,149674,1805826,1
473842,149674,2031132,1
474201,149833,1259886,1
474851,149833,4199293,1
475690,150578,2041134,1
476471,150578,4294785,1
476795,150737,4212129,1
476868,151034,539720,1
477398,151330,463687,1
477522,151330,1107332,1
477548,151330,1239802,1
478013,151330,3746875,1
478342,151400,1571453,1
478875,151465,3618660,1
480785,151693,582738,1
481275,151693,798020,1
481302,151693,807807,1
483401,151693,1646145,1
483610,151693,1724368,1
484230,151693,1956787,1
484516,151693,2063988,1
484649,151693,2117243,1
485624,151693,2501991,1
485625,151693,2502217,1
485793,151693,2560316,1
486241,151693,2744350,1
486857,151693,2993454,1
486921,151693,3017865,1
487195,151693,3135359,1
487209,151693,3141134,1
487485,151693,3253528,1
488660,151693,3750838,1
489077,151693,3917650,1
489393,151693,4045472,1
489561,151693,4108510,1
489756,151693,4184554,1
490814,151693,4595698,1
491042,151693,4681952,1
491362,151693,4810649,1
492289,152481,4016723,1
493816,153871,157533,1
493838,153871,181027,1
494296,153871,758602,1
494876,153871,1460619,1
495547,153871,2296950,1
496312,153871,3247446,1
496724,153871,3750885,1
497024,153871,4150797,1
497061,153871,4186056,1
497115,153871,4243703,1
497177,153871,4325791,1
497381,153871,4606261,1
497519,153871,4770275,1
498611,154018,2361238,1
499288,154154,3065732,1
500387,155821,193939,1
500791,155821,534055,1
503068,155821,2484047,1
503085,155821,2500176,1
503388,155821,2773171,1
503794,155821,3117521,1
504248,155821,3499341,1
504979,155821,4127702,1
506082,157174,2962781,1
508227,158492,1755726,1
508768,158492,4140854,1
508976,158616,2860764,1
510025,159285,973063,1
510036,159285,985983,1
510643,159285,1597515,1
510770,159285,1723506,1
511037,159285,1998377,1
511679,159285,2626109,1
511701,159285,2649866,1
512105,159285,3077569,1
512496,159285,3515020,1
512760,159285,3789315,1
512912,159285,3947486,1
512964,159285,4013053,1
513217,159285,4279385,1
513692,159285,4807996,1
513990,159742,983993,1
514154,159742,3000269,1
515258,160832,3702208,1
515879,161276,434449,1
516174,161276,658427,1
516834,161276,1190998,1
517176,161276,1459411,1
517385,161276,1620737,1
518066,161276,2097358,1
518648,161276,2502456,1
518840,161276,2638693,1
519285,161276,2957318,1
519518,161276,3126604,1
519623,161276,3205709,1
519870,161276,3373430,1
520141,161276,3566900,1
521741,161276,4762781,1
521849,161276,4855959,1
522378,161585,2546731,1
523817,162775,3843416,1
523994,163267,1460314,1
525467,164664,4326616,1
526063,165834,1857661,1
526231,165858,317847,1
527221,165858,2748914,1
528272,165948,2101945,1
528561,166004,181064,1
528996,166004,2414884,1
529494,166029,564960,1
529636,166029,1645166,1
531904,169008,2576917,1
531910,169008,2640613,1
531998,169008,3957027,1
532553,170530,65928,1
533582,171409,3271484,1
533798,171503,1169644,1
533878,171503,1998083,1
534138,172144,102876,1
534557,172182,557268,1
535149,172182,3379725,1
535354,172182,4299598,1
536636,173038,242173,1
537587,173493,1431749,1
538346,173493,3376173,1
538437,173493,3570988,1
538580,173493,3986087,1
538902,173493,4731699,1
539034,174859,354904,1
539762,176070,279931,1
540183,176070,3651802,1
540211,176070,3862848,1
540413,176418,714600,1
540606,176418,2100585,1
540622,176418,2204410,1
540679,176418,2601213,1
540681,176418,2611384,1
540703,176418,2801571,1
540985,176426,1024051,1
541416,176788,4007158,1
541660,177001,15188,1
543224,180302,898760,1
543443,180302,1372798,1
543734,180302,2100039,1
544608,180302,4331854,1
545193,180517,407749,1
545429,180517,689836,1
545537,180517,803387,1
546131,180517,1483516,1
546842,180517,2331771,1
547024,180517,2546822,1
547492,180517,3073069,1
547675,180517,3298299,1
548351,180517,4052192,1
550092,181238,1613202,1
550272,181238,2186749,1
550755,181238,3856188,1
550942,181238,4533491,1
551133,181623,1578348,1
552060,182076,2793437,1
552306,182076,4359964,1
552533,182123,3591779,1
553013,182728,2359470,1
553061,182728,3066590,1
553195,182852,2021254,1
554793,183132,3006660,1
554986,183132,3373648,1
556446,184266,4745452,1
556598,184346,1283251,1
557148,184437,3662772,1
558016,184734,3606659,1
558218,184734,4575653,1
558710,185504,632923,1
559496,185799,1662990,1
559685,185896,3701363,1
560580,185943,619144,1
560631,185943,658431,1
560680,185943,690967,1
561017,185943,931619,1
561115,185943,1007161,1
563434,185943,2717086,1
563605,185943,2859702,1
564903,185943,3873549,1
565261,185943,4129376,1
565417,185943,4245359,1
565710,185943,4451491,1
565998,185943,4668678,1
567280,186745,3392603,1
567395,186745,3939967,1
567857,188027,367147,1
569449,189347,3484498,1
570770,192395,2550563,1
571444,193736,3844858,1
572997,195955,648586,1
573138,195955,2481264,1
575668,196521,839175,1
575915,196521,942649,1
576205,196521,1057633,1
576875,196521,1349304,1
577188,196521,1472811,1
577863,196521,1757055,1
579306,196521,2378456,1
579492,196521,2454787,1
580947,196521,3089924,1
580949,196521,3090823,1
581018,196521,3122014,1
582686,196521,3865784,1
583858,196521,4372007,1
584015,196521,4443171,1
584061,196521,4462726,1
584256,196521,4544462,1
584682,196521,4725778,1
585024,196817,302470,1
586901,197541,3121442,1
586906,197541,3134965,1
587474,197541,4450641,1
588908,199230,2528501,1
591838,201249,4762204,1
592860,203626,3687165,1
593874,203830,2882948,1
593945,203830,3275207,1
594360,204792,3048737,1
594371,204792,3256388,1
594659,205771,513595,1
595419,205771,2930529,1
595626,205771,3630609,1
597016,207214,2754149,1
597375,207214,4404885,1
597800,207376,1476810,1
598649,207864,516554,1
598739,207864,617283,1
599318,207864,1377539,1
600870,207864,3468078,1
601236,207864,3935455,1
601330,207864,4073505,1
601971,209136,716962,1
602182,209136,3963953,1
604362,209767,2521607,1
604690,209989,2984432,1
605360,211450,369990,1
606311,211698,1686599,1
606342,211698,1790244,1
606888,211698,3084670,1
607548,211698,4512883,1
608075,212242,2319861,1
608226,212242,3368329,1
609108,212421,2272970,1
609136,212421,2523618,1
609758,213018,698430,1
610194,213284,1013913,1
